198	based	10	21084
627	networks	10	10838
2	systems	10	7005
261	data	10	6995
22	analysis	10	6406
624	multi	10	5828
9492	wireless	10	5779
18	model	10	5364
131	network	10	5238
145	algorithm	10	5126
363	time	10	5023
25	control	10	4760
99	design	10	4601
790	sensor	10	4367
92	performance	10	4195
622	image	10	4157
1180	efficient	10	4133
29	detection	10	4027
1874	video	10	3956
117	approach	10	3845
8936	web	10	3811
35	adaptive	10	3365
391	mobile	10	3312
288	power	10	3265
228	dynamic	10	3243
166	learning	10	3217
51	distributed	10	3200
480	information	10	3027
36	method	10	2998
280	management	10	2679
282	high	10	2568
128	recognition	10	2557
55	optimization	10	2528
349	applications	10	2484
30	estimation	10	2445
576	multiple	10	2422
420	service	10	2368
555	application	10	2299
436	modeling	10	2287
13	scheme	10	2263
722	robot	10	2251
129	routing	10	2247
2052	framework	10	2239
408	study	10	2162
1564	real	10	2111
1295	energy	10	2111
427	scheduling	10	2099
140	new	10	2092
854	architecture	10	2073
200	evaluation	10	2022
58	classification	10	2017
2169	novel	10	2010
15744	mining	10	1998
2749	coding	10	1982
210	low	10	1928
25393	aware	10	1907
680	retrieval	10	1886
113	search	10	1877
835	channel	10	1832
175	selection	10	1798
106	large	10	1796
3177	hoc	10	1794
23379	peer	10	1757
1003	robust	10	1754
4817	grid	10	1749
1338	motion	10	1707
572	space	10	1703
592	automatic	10	1685
595	level	10	1673
81	clustering	10	1634
757	semantic	10	1610
2215	protocol	10	1603
965	tracking	10	1578
718	access	10	1566
374	computing	10	1552
362	models	10	1548
1055	fast	10	1542
3043	services	10	1534
1587	software	10	1515
103	processing	10	1512
67	simulation	10	1473
940	images	10	1472
2312	neural	10	1472
49	optimal	10	1456
256	algorithms	10	1450
380	scale	10	1447
26	human	10	1445
310	parallel	10	1442
502	generation	10	1437
417	communication	10	1423
2006	hybrid	10	1419
749	support	10	1392
1534	rate	10	1380
964	embedded	10	1376
486	feature	10	1376
1457	object	10	1354
880	research	10	1343
5044	scalable	10	1327
611	allocation	10	1304
2710	segmentation	10	1303
1889	query	10	1298
370	proceedings	10	1294
399	test	10	1293
190	user	10	1289
413	delay	10	1276
450	environment	10	1275
2802	fuzzy	10	1274
